run_id,tbias,kp,ddfsnow,ddfsnow_iceratio,ddfice,combined_rmse,glacier_wide_mb,mod_ABL_2023,mod_ABL_2024,mod_ELA_2023,mod_ELA_2024,mod_ELA_2025,mod_ACC_2023,mod_ACC_2024,mod_ACC_2025,rmse_ABL,bias_ABL,rmse_ELA,bias_ELA,rmse_ACC,bias_ACC
9570,0.5,2.0,0.0021,0.2,0.0104999999999999,0.4088991577193309,-1.1447781207345349,-4.548632347316402,-2.275677087877691,0.29227665349682835,0.9089376844372965,1.2892083283884666,1.0448979550226287,1.3323059845353344,1.8224004422141982,0.25289309130573007,0.1528452824029536,0.49501468444542496,0.4034742221075305,0.3977267591192385,0.16486812725738711
9851,0.5,3.5,0.0053999999999999,0.6799999999999999,0.0079411764705882,0.46951067125374263,-1.9316874871575769,-4.152081056534809,-3.0271760996057564,-0.8992361620011389,-0.12255040637130343,0.600545617868373,0.7566440483917705,1.3305719592220246,2.0765003344432005,0.3733607138679542,-0.024628578070282625,0.6526556252144053,-0.5670803168346897,0.26258181117328283,0.15290544735233189
9984,0.5,4.25,0.0065,0.76,0.0085526315789473,0.49085025832753776,-1.9166998246615663,-4.298479818094348,-3.083176902616635,-0.7751762928546423,0.07368544799901189,0.8812472731687042,0.9854364336836672,1.6443167857842356,2.555168209305172,0.3506990795400626,-0.12582836035549172,0.5183720175204557,-0.36674785722897535,0.5401738838486816,0.4933071429243583
9985,0.5,4.25,0.0065,0.8400000000000001,0.0077380952380952,0.4913855564217356,-1.6288942756116633,-3.7585620458903337,-2.659863621024845,-0.5656906806707002,0.20725298409701687,0.9525850251205177,1.0113010911126117,1.6453544102603588,2.5565796631398863,0.5247009032082197,0.3557871665424106,0.39618255924639684,-0.22861755715105522,0.5508097627042912,0.5027450548376189
13673,5.0,2.75,0.001,0.2,0.005,0.5007915476880683,-1.1120592529471405,-5.588069659376444,-2.1273381615573976,0.38916211619442076,0.4940675144181279,0.7894780838919998,0.8531205996431672,1.3806158948770464,1.9572108104685282,0.8475153413012851,-0.2927039104669209,0.3282818499911223,0.13090257150151616,0.2866274976943872,0.1619824349962473
5490,-4.0,1.25,0.0053999999999999,0.28,0.0192857142857142,0.5010687850668989,-2.046968925411364,-3.6390465139602846,-3.2792345399361453,0.004947751151538365,0.7037383403869921,0.8550984270590222,0.9635881644560835,1.6530957380775586,1.6959343088262502,0.7624783252558845,0.105859473051785,0.37599451732514905,0.09459483953251753,0.3749210560467329,0.2025394037866308
8250,-1.0,2.0,0.0031999999999999,0.2,0.0159999999999999,0.5097784905742406,-2.24343878322239,-4.865501748158664,-3.097456938112447,-0.5838002888944239,0.6425749614090256,1.088741746176249,1.339177406052082,1.479112893644219,1.7163545788587187,0.4195876052128469,-0.41647934313555557,0.5039996170522067,-0.044161193769716466,0.5671091948806074,0.27654829285167326
6798,-2.5,1.25,0.0031999999999999,0.2,0.0159999999999999,0.5349420069597046,-2.122456729117713,-4.435074936133739,-3.6454618411330197,-0.27219351885082005,0.4813664585963314,0.5332714665459456,0.9854498590360292,1.171288902668955,1.4179305473496788,0.7195060856988288,-0.4752683886333793,0.4407873563332189,-0.1791851979028477,0.4729500013234762,-0.04344356364844563
13931,5.0,4.25,0.0021,0.6000000000000001,0.0034999999999999,0.5423202416044423,-1.1432184887026007,-4.148810119932822,-2.5693137127937673,-0.8593255010805956,-0.3134191988172166,0.10758397998391722,0.5337474210909765,1.417336022470348,2.2755316447723057,0.25200908447561593,0.2059380836367053,0.8239768942873184,-0.7817202399712984,0.25103720265902474,0.1738716961112101
13674,5.0,2.75,0.001,0.28,0.0035714285714285,0.567052797622011,-0.5540181917713425,-3.827595677376106,-1.4140861261746853,0.40534267457661355,0.5671329010516085,0.791116117776231,0.8533329473998497,1.3818800643973659,1.9598659220857224,0.9824902344665266,0.9441590982246043,0.36281363148369905,0.16119723113481768,0.28688887925016393,0.163359644627646
