run_id,success,runtime,returncode
0,True,4.3829426765441895,0
1,True,4.707832336425781,0
2,True,4.2370522022247314,0
3,True,4.217862606048584,0
4,True,4.2609498500823975,0
5,True,4.327658414840698,0
6,True,4.421266794204712,0
7,True,4.280017137527466,0
8,True,4.204959869384766,0
9,True,4.18250584602356,0
10,True,4.175734519958496,0
11,True,4.187329530715942,0
12,True,4.157135963439941,0
13,True,4.1696202754974365,0
14,True,4.163840055465698,0
15,True,4.165635585784912,0
16,True,4.141207218170166,0
17,True,4.168658018112183,0
18,True,4.172557830810547,0
19,True,4.171091318130493,0
20,True,4.169158458709717,0
21,True,4.187077522277832,0
22,True,4.160999536514282,0
23,True,4.165306091308594,0
24,True,4.167431592941284,0
25,True,4.167819261550903,0
26,True,4.163776397705078,0
27,True,4.179164886474609,0
28,True,4.17716383934021,0
29,True,4.160173416137695,0
30,True,4.164844751358032,0
31,True,4.178021192550659,0
32,True,4.159363031387329,0
33,True,4.154726505279541,0
34,True,4.171817302703857,0
35,True,4.163542032241821,0
36,True,4.17357349395752,0
37,True,4.199125051498413,0
38,True,4.162744045257568,0
39,True,4.181524276733398,0
40,True,4.201974630355835,0
41,True,4.10022759437561,0
42,True,4.103882074356079,0
43,True,4.126096725463867,0
44,True,4.122085332870483,0
45,True,4.17818284034729,0
46,True,4.214823246002197,0
47,True,4.179973363876343,0
48,True,4.171811819076538,0
49,True,4.178934335708618,0
50,True,4.167968273162842,0
51,True,4.167533874511719,0
52,True,4.1738364696502686,0
53,True,4.161614418029785,0
54,True,4.181641340255737,0
55,True,4.162720203399658,0
56,True,4.187517166137695,0
57,True,4.168052434921265,0
58,True,4.170942306518555,0
59,True,4.163740396499634,0
60,True,4.157556056976318,0
61,True,4.176359176635742,0
62,True,4.160124063491821,0
63,True,4.186624526977539,0
64,True,4.193892240524292,0
65,True,4.162808179855347,0
66,True,4.211375951766968,0
67,True,4.174772024154663,0
68,True,4.161535739898682,0
69,True,4.1711266040802,0
70,True,4.151784896850586,0
71,True,4.200847864151001,0
72,True,4.178044080734253,0
73,True,4.160873174667358,0
74,True,4.1938769817352295,0
75,True,4.173328399658203,0
76,True,4.173840045928955,0
77,True,4.172544002532959,0
78,True,4.1447508335113525,0
79,True,4.161743640899658,0
80,True,4.202420711517334,0
81,True,4.191140413284302,0
82,True,4.160637378692627,0
83,True,4.131428480148315,0
84,True,4.157999277114868,0
85,True,4.143548011779785,0
86,True,4.171824455261231,0
87,True,4.1936023235321045,0
88,True,4.167776584625244,0
89,True,4.205254316329956,0
90,True,4.170270442962647,0
91,True,4.147992372512817,0
92,True,4.149765729904175,0
93,True,4.1627702713012695,0
94,True,4.161713123321533,0
95,True,4.1695544719696045,0
96,True,4.144597053527832,0
97,True,4.1725172996521,0
98,True,4.282496929168701,0
99,True,4.237332344055176,0
100,True,4.181853532791138,0
101,True,4.213269233703613,0
102,True,4.172377109527588,0
103,True,4.222127676010132,0
104,True,4.1778647899627686,0
105,True,4.161861896514893,0
106,True,4.167232036590576,0
107,True,4.183027982711792,0
108,True,4.200698852539063,0
109,True,4.148200273513794,0
110,True,4.1732237339019775,0
111,True,4.160691022872925,0
112,True,4.207526445388794,0
113,True,4.171128034591675,0
114,True,4.180432081222534,0
115,True,4.151198863983154,0
116,True,4.121647119522095,0
117,True,4.170182466506958,0
118,True,4.167614459991455,0
119,True,4.176643133163452,0
120,True,4.190269947052002,0
121,True,4.1769304275512695,0
122,True,4.152995347976685,0
123,True,4.172753095626831,0
124,True,4.159970760345459,0
125,True,4.189299583435059,0
126,True,4.170779705047607,0
127,True,4.152714967727661,0
128,True,4.191497564315796,0
129,True,4.161357164382935,0
130,True,4.1699841022491455,0
131,True,4.152082681655884,0
132,True,4.151654958724976,0
133,True,4.156270980834961,0
134,True,4.148783922195435,0
135,True,4.397792339324951,0
136,True,4.32959771156311,0
137,True,4.254933834075928,0
138,True,4.18264627456665,0
139,True,4.129157781600952,0
140,True,4.11412501335144,0
141,True,4.145605802536011,0
142,True,4.13062858581543,0
143,True,4.1661927700042725,0
144,True,4.140027761459351,0
145,True,4.131710767745972,0
146,True,4.173512697219849,0
147,True,4.139797210693359,0
148,True,4.148621559143066,0
149,True,4.151386976242065,0
150,True,4.133816957473755,0
151,True,4.13411021232605,0
152,True,4.146519422531128,0
153,True,4.128162384033203,0
154,True,4.152236223220825,0
155,True,4.145048141479492,0
156,True,4.145643711090088,0
157,True,4.136269807815552,0
158,True,4.144049406051636,0
159,True,4.183223485946655,0
160,True,4.177117347717285,0
161,True,4.177602291107178,0
162,True,4.153442859649658,0
163,True,4.124948978424072,0
164,True,4.130934953689575,0
165,True,4.137885570526123,0
166,True,4.135716915130615,0
167,True,4.173702001571655,0
168,True,4.136913776397705,0
169,True,4.126477241516113,0
170,True,4.138441562652588,0
171,True,4.12968635559082,0
172,True,4.119568586349487,0
173,True,4.103295803070068,0
174,True,4.154721260070801,0
175,True,4.145810604095459,0
176,True,4.135039329528809,0
177,True,4.16308856010437,0
178,True,4.124867916107178,0
179,True,4.159061431884766,0
180,True,4.132807493209839,0
181,True,4.15709114074707,0
182,True,4.156915903091431,0
